,Mean,StdDev
TauJets.mcEventNumber,30304836.906904083,11293721.95063549
TauJets.mcEventWeight,0.6277398689428123,2.7473093137534423
TauJets.truthDecayMode,0.8667847287425909,1.1885965158347958
TauJets.truthProng,0.8134709475148112,0.9841990356621536
TauJets.truthEtaVis,-0.00024506810864166156,1.0002538467852065
TauJets.truthPhiVis,0.000720994144224476,1.3344175835463816
TauJets.truthPtVis,70447.35623647571,242798.56830630355
TauJets.IsTruthMatched,1.0,0.0
TauJets.mu,37.4792542853658,13.058930791367489
TauJets.nVtxPU,21.2260734151681,7.420566212358851
TauJets.jet_eta,-0.00023377454245730844,1.1916191663938602
TauJets.jet_phi,0.0009311778062694872,1.8139609738642362
TauJets.jet_pt,383989.89956191817,621138.0972620138
TauJets.nTracks,6.387611194843195,8.018496398341515
TauJets.RNNJetScoreSigTrans,0.21790747076375944,0.2966048271575368
TauJets.isRNNJetIDLoose,0.0032469584125521186,0.05688950603482381
TauJets.isRNNJetIDMedium,0.0017171275383354534,0.04140264640825183
TauTracks.pt,149343.18368584616,23943888.29987789
TauTracks.jetpt,489026.81428729044,682525.3417886688
TauTracks.dphi,-0.00014270109014911188,0.05889499295887801
TauTracks.dphiECal,7.628587623865636e-05,0.08286886163336281
TauTracks.deta,-1.0749846581563514e-05,0.05501726393672035
TauTracks.detaECal,0.006647843279623434,0.27074481723749055
NeutralPFO.pt,16344.05912878384,88926.91376657091
NeutralPFO.jetpt,170052.28730984303,390853.4295338808
NeutralPFO.dphi,2.1655676911221142e-05,0.15816801251670426
NeutralPFO.dphiECal,-0.00012299326212223755,0.18601272050582587
NeutralPFO.deta,2.4378422980163718e-05,0.15716159000063626
NeutralPFO.detaECal,0.013065925219048095,0.40394162823421564
ShotPFO.pt,2813.709485472764,8205.237058945395
ShotPFO.jetpt,277916.73432641034,536589.1005125229
ShotPFO.dphi,-0.00011264552012973346,0.09091123754833816
ShotPFO.dphiECal,4.053052448468329e-05,0.12626600652541295
ShotPFO.deta,-9.54394916101779e-05,0.08164237087164333
ShotPFO.detaECal,0.012230792244275937,0.3679659533638918
ConvTrack.pt,69115692.41111763,127621730125.54958
ConvTrack.jetpt,847599.5369189129,793576.3135519892
ConvTrack.dphi,-0.00037784051194466895,0.09028541289985231
ConvTrack.dphiECal,0.00032347691321315446,0.11483269387182425
ConvTrack.deta,1.203676682670324e-05,0.0990110303165557
ConvTrack.detaECal,0.006671782940920819,0.28459050868478225
ConvTrack.d0TJVA,-0.06057891983932312,3.2068391212835077
ConvTrack.d0SigTJVA,-0.3613510408011506,23.60156945895015
ConvTrack.z0sinthetaTJVA,-0.01116189035261171,17.410167283301632
ConvTrack.z0sinthetaSigTJVA,-0.638896363959033,67.56935958316195
NeutralPFO.pi0BDT,0.06329216936345025,0.5756449521649486
NeutralPFO.ptSubRatio,0.04343986857015768,0.15725152737564801
NeutralPFO.NHitsInEM1,0.39946170114348123,0.9239921809522925
NeutralPFO.secondEtaWRTClusterPosition_EM1,0.000328426830511648,0.0005465889019779525
NeutralPFO.energyfrac_EM2,0.3532462456247586,0.18251930040337225
NeutralPFO.FIRST_ETA,0.000770711014760144,1.3060131219120688
NeutralPFO.SECOND_R,5045.490038242555,5846.566206539271
NeutralPFO.DELTA_THETA,-0.00038544384308079606,0.1497690459898454
NeutralPFO.CENTER_LAMBDA,212.3344319894196,134.75553810429727
NeutralPFO.LONGITUDINAL,0.7230448344874038,0.19020558802808196
NeutralPFO.ENG_FRAC_EM,0.8871703058165878,0.186202579018666
NeutralPFO.ENG_FRAC_CORE,0.3617080117604604,0.16144055269628432
NeutralPFO.SECOND_ENG_DENS,0.01046236222670822,0.3953289804471805
NeutralPFO.EM1CoreFrac,0.32775199252706994,0.26096500848831483
NeutralPFO.NPosECells_EM1,30.88801839609044,32.22208101691691
NeutralPFO.NPosECells_EM2,21.323275672899886,19.522942587170792
NeutralPFO.firstEtaWRTClusterPosition_EM1,3.642603102541532e-05,0.007880683459723696
NeutralPFO.secondEtaWRTClusterPosition_EM2,0.000538560525370793,0.0005787187133903903
NeutralPFO.LATERAL,0.7617736137655032,0.19918222774698216
NeutralPFO.ENG_FRAC_MAX,0.2373190659101446,0.16188752314712399
NeutralPFO.NPosECells_PS,2.1960872945908547,3.0387507841660124
NeutralPFO.firstEtaWRTClusterPosition_EM2,-2.8494803297593752e-05,0.005784155589334443
NeutralPFO.energy_EM1,5350.562954397852,20622.32770477934
NeutralPFO.energy_EM2,20951.46637656641,114509.99316856514
ShotPFO.nCellsInEta,5.0,0.0
ShotPFO.pt1,2813.709485465541,8205.237059079083
ShotPFO.pt3,5474.463055512642,15165.794271692104
ShotPFO.pt5,6907.243123251004,18155.743250028336
ShotPFO.nPhotons,1.0482158759646985,0.21422209652837856
TauClusters.e,88064.81025153525,255778.8881735473
TauClusters.et,65048.12325517484,209948.1498634617
TauClusters.eta,-7.559791248025631e-05,1.1849148962561356
TauClusters.phi,0.0022773432788062114,1.8137737963825278
TauClusters.dEta,1.7066329736460198e-05,0.13904502891564272
TauClusters.dPhi,-0.00011894869495299016,0.14622412972750395
TauClusters.SECOND_R,22440.734772678792,42484.09012633549
TauClusters.SECOND_LAMBDA,87007.81384241111,131991.08284679503
TauClusters.CENTER_LAMBDA,563.916406900454,627.4008831083414
TauTracks.charge,0.005237179301047711,0.9999862877129974
TauTracks.eta,-0.00024440951845151984,1.152713507491277
TauTracks.phi,0.0012151322276222067,1.8139823468572691
TauTracks.chiSquared,32.66825186353619,20.011272507741957
TauTracks.nDoF,30.59397319988384,15.697238361308225
TauTracks.nInnermostPixelHits,0.8559539859425793,0.4766459057048799
TauTracks.nPixelHits,3.4624872779259417,1.5035493888378515
TauTracks.nSCTHits,7.4307784056600195,2.6036634922025934
TauTracks.z0sinthetaTJVA,0.009510546063573303,24.12911519105736
TauTracks.z0sinthetaSigTJVA,-0.13965589827699135,237.5668521401675
TauTracks.d0TJVA,-0.03258590146054496,2.0096141726667063
TauTracks.d0SigTJVA,-0.03916449215008792,11.854933669354079
TauTracks.chargedScoreRNN,0.3970613861125922,0.4215300257646907
TauTracks.isolationScoreRNN,0.09410745701699123,0.2086825700596647
TauTracks.conversionScoreRNN,0.13174195156643975,0.26842901751538356
TauTracks.fakeScoreRNN,0.377089205303174,0.4492995339132108
TauJets.nTracksTotal,18.568974801765567,13.967323007179457
TauJets.nTracksFiltered,18.568974801765567,13.967323007179655
TauJets.ptJetSeed,416785.2713934214,659076.4040355408
TauJets.etaJetSeed,-0.0001735064063919181,1.1987362702247772
TauJets.phiJetSeed,0.0008983665230786818,1.8139148074272227
TauJets.centFrac,0.7882022113988806,0.17902656446777027
TauJets.EMPOverTrkSysP,-40.33381082614811,214.44810182319546
TauJets.innerTrkAvgDist,0.05099185744902783,0.04695334156750139
TauJets.ptRatioEflowApprox,1.1961667051751403,22.37664035248439
TauJets.dRmax,0.12809093655042614,0.11838767067087748
TauJets.trFlightPathSig,-462.2358721758217,550.2004197921387
TauJets.mEflowApprox,16829.628894304875,40587.149220705505
TauJets.SumPtTrkFrac,0.12306556695736584,0.22519170168370395
TauJets.absipSigLeadTrk,0.0,0.0
TauJets.massTrkSys,13921.20421385308,46778.05130706436
TauJets.etOverPtLeadTrk,4.1384472095250935,7.57811704351525
TauJets.ptIntermediateAxis,383989.8995619181,621138.097262007
